407,Magic A + 7 -- 魔法A＋7,1.135,1.135,1,1,1.7,1,1,0.95,0.95,1.46,1.46,0.95,1.07,0.95,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,7,System.Byte[],1,0.95,1,0.95,3,1,System.Byte[]
408,Magic A + 8 -- 魔法A＋8,1.19,1.19,1,1,1.8,1,1,1,1,1.52,1.52,0.95,1.08,0.95,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,8,System.Byte[],1,0.95,1,0.95,3.25,1,System.Byte[]
409,Magic A + 9 -- 魔法A＋9,1.245,1.245,1,1,1.9,1,1,1.05,1.05,1.58,1.58,0.95,1.09,0.95,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,9,System.Byte[],1,0.95,1,0.95,3.5,1,System.Byte[]
410,Magic A + 10 -- 魔法A＋10,1.3,1.3,1,1,2,1,1,1.1,1.1,1.65,1.65,0.95,1.1,0.95,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,10,System.Byte[],1,0.95,1,0.95,4,1,System.Byte[]
500,Magic B -- 魔法B,0.75,0.75,1,1,1,1,1,0.7,0.7,0.5,0.5,0.95,1,0.95,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,0,System.Byte[],1,0.95,1,0.95,1.5,1,System.Byte[]
501,Magic B + 1 -- 魔法B＋1,0.785,0.79,1,1,1.1,1,1,0.79,0.79,0.66,0.66,0.95,1.01,0.95,0.95,0.95,0.95,0.95,0.95,1,0,0,0,1,0,0,1,System.Byte[],1,0.95,1,0.95,1.5,1,System.Byte[]
502,Magic B + 2 -- 魔法B＋2,0.82,0.83,1,1,1.2,1,1,0.88,0.88,0.82,0.82,0.95,1.02,0.95,0.95,0.95,0.95,0.95,0.95,1,0,0,0,2,0,0,2,System.Byte[],1,0.95,1,0.95,1.75,1,System.Byte[]
503,Magic B + 3 -- 魔法B＋3,0.855,0.87,1,1,1.3,1,1,0.97,0.97,0.98,0.98,0.95,1.03,0.95,0.95,0.95,0.95,0.95,0.95,1,0,0,0,3,0,0,3,System.Byte[],1,0.95,1,0.95,2,1,System.Byte[]
504,Magic B + 4 -- 魔法B＋4,0.89,0.91,1,1,1.4,1,1,1.05,1.05,1.15,1.15,0.95,1.04,0.95,0.95,0.95,0.95,0.95,0.95,1,0,0,0,4,0,0,4,System.Byte[],1,0.95,1,0.95,2.25,1,System.Byte[]
505,Magic B + 5 -- 魔法B＋5,0.925,0.95,1,1,1.5,1,1,1.11,1.11,1.26,1.26,0.95,1.05,0.95,0.95,0.95,0.95,0.95,0.95,1,0,0,0,5,0,0,5,System.Byte[],1,0.95,1,0.95,2.5,1,System.Byte[]
506,Magic B + 1 -- 魔法B＋1,0.96,0.99,1,1,1.6,1,1,1.17,1.17,1.37,1.37,0.95,1.06,0.95,0.95,0.95,0.95,0.95,0.95,1,0,0,0,6,0,0,6,System.Byte[],1,0.95,1,0.95,2.75,1,System.Byte[]
507,Magic B + 2 -- 魔法B＋2,0.995,1.03,1,1,1.7,1,1,1.23,1.23,1.48,1.48,0.95,1.07,0.95,0.95,0.95,0.95,0.95,0.95,1,0,0,0,7,0,0,7,System.Byte[],1,0.95,1,0.95,3,1,System.Byte[]
508,Magic B + 3 -- 魔法B＋3,1.03,1.07,1,1,1.8,1,1,1.29,1.29,1.59,1.59,0.95,1.08,0.95,0.95,0.95,0.95,0.95,0.95,1,0,0,0,8,0,0,8,System.Byte[],1,0.95,1,0.95,3.25,1,System.Byte[]
509,Magic B + 4 -- 魔法B＋4,1.065,1.11,1,1,1.9,1,1,1.35,1.35,1.7,1.7,0.95,1.09,0.95,0.95,0.95,0.95,0.95,0.95,1,0,0,0,9,0,0,9,System.Byte[],1,0.95,1,0.95,3.5,1,System.Byte[]
510,Magic B + 5 -- 魔法B＋5,1.1,1.15,1,1,2,1,1,1.4,1.4,1.8,1.8,0.95,1.1,0.95,0.95,0.95,0.95,0.95,0.95,1,0,0,0,10,0,0,10,System.Byte[],1,0.95,1,0.95,4,1,System.Byte[]
600,Flame -- 炎,0.85,1,0.85,1,1,1,1,0,0,0,0,0.95,0.95,1.1,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,0,System.Byte[],1,0.95,0,0.95,1.5,1,System.Byte[]
601,Flame + 1 -- 炎＋1,0.94,1,0.94,1,1.1,1,1,0,0,0,0,0.95,0.95,1.11,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,1,System.Byte[],1,0.95,0,0.95,1.5,1,System.Byte[]
602,Flame + 2 -- 炎＋2,1.03,1,1.03,1,1.2,1,1,0,0,0,0,0.95,0.95,1.12,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,2,System.Byte[],1,0.95,0,0.95,1.75,1,System.Byte[]
603,Flame + 3 -- 炎＋3,1.12,1,1.12,1,1.3,1,1,0,0,0,0,0.95,0.95,1.13,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,3,System.Byte[],1,0.95,0,0.95,2,1,System.Byte[]
604,Flame + 4 -- 炎＋4,1.19,1,1.19,1,1.4,1,1,0,0,0,0,0.95,0.95,1.14,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,4,System.Byte[],1,0.95,0,0.95,2.25,1,System.Byte[]
605,Flame + 5 -- 炎＋5,1.3,1,1.3,1,1.5,1,1,0,0,0,0,0.95,0.95,1.15,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,5,System.Byte[],1,0.95,0,0.95,2.5,1,System.Byte[]
606,Flame + 6 -- 炎＋6,1.41,1,1.41,1,1.6,1,1,0,0,0,0,0.95,0.95,1.16,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,6,System.Byte[],1,0.95,0,0.95,2.75,1,System.Byte[]
607,Flame + 7 -- 炎＋7,1.52,1,1.52,1,1.7,1,1,0,0,0,0,0.95,0.95,1.17,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,7,System.Byte[],1,0.95,0,0.95,3,1,System.Byte[]
608,Flame + 8 -- 炎＋8,1.63,1,1.63,1,1.8,1,1,0,0,0,0,0.95,0.95,1.18,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,8,System.Byte[],1,0.95,0,0.95,3.25,1,System.Byte[]
609,Flame + 9 -- 炎＋9,1.74,1,1.74,1,1.9,1,1,0,0,0,0,0.95,0.95,1.19,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,9,System.Byte[],1,0.95,0,0.95,3.5,1,System.Byte[]
610,Flame + 10 -- 炎＋10,1.85,1,1.85,1,2,1,1,0,0,0,0,0.95,0.95,1.2,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,10,System.Byte[],1,0.95,0,0.95,4,1,System.Byte[]
700,Flames of Chaos -- 混沌の炎,0.8,1,0.8,1,1,1,1,0.3,0.3,0.54,0.54,0.95,0.95,1,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,0,System.Byte[],1,0.95,1,0.95,1.5,1,System.Byte[]
701,Flames of Chaos + 1 -- 混沌の炎＋1,0.83,1,0.835,1,1.1,1,1,0.43,0.43,0.68,0.68,0.95,0.95,1.01,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,1,System.Byte[],1,0.95,1,0.95,1.5,1,System.Byte[]
702,Flames of Chaos + 2 -- 混沌の炎＋2,0.86,1,0.87,1,1.2,1,1,0.56,0.56,0.82,0.82,0.95,0.95,1.02,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,2,System.Byte[],1,0.95,1,0.95,1.75,1,System.Byte[]
703,Flames of Chaos + 3 -- 混沌の炎＋3,0.89,1,0.905,1,1.3,1,1,0.69,0.69,0.96,0.96,0.95,0.95,1.03,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,3,System.Byte[],1,0.95,1,0.95,2,1,System.Byte[]
704,Flames of Chaos + 4 -- 混沌の炎＋4,0.92,1,0.94,1,1.4,1,1,0.83,0.83,1.09,1.09,0.95,0.95,1.04,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,4,System.Byte[],1,0.95,1,0.95,2.25,1,System.Byte[]
705,Flames of Chaos + 5 -- 混沌の炎＋5,0.95,1,0.975,1,1.5,1,1,0.92,0.92,1.13,1.13,0.95,0.95,1.05,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,5,System.Byte[],1,0.95,1,0.95,2.5,1,System.Byte[]
706,Flame of Chaos + 6 -- 混沌の炎＋6,0.98,1,1.01,1,1.6,1,1,1.01,1.01,1.17,1.17,0.95,0.95,1.06,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,6,System.Byte[],1,0.95,1,0.95,2.75,1,System.Byte[]
707,Flames of Chaos + 7 -- 混沌の炎＋7,1.01,1,1.045,1,1.7,1,1,1.1,1.1,1.21,1.21,0.95,0.95,1.07,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,7,System.Byte[],1,0.95,1,0.95,3,1,System.Byte[]
708,Flames of Chaos + 8 -- 混沌の炎＋8,1.04,1,1.08,1,1.8,1,1,1.19,1.19,1.25,1.25,0.95,0.95,1.08,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,8,System.Byte[],1,0.95,1,0.95,3.25,1,System.Byte[]
709,Flames of Chaos + 9 -- 混沌の炎＋9,1.07,1,1.115,1,1.9,1,1,1.28,1.28,1.29,1.29,0.95,0.95,1.09,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,9,System.Byte[],1,0.95,1,0.95,3.5,1,System.Byte[]
710,Flames of Chaos + 10 -- 混沌の炎＋10,1.1,1,1.15,1,2,1,1,1.35,1.35,1.3,1.3,0.95,0.95,1.1,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,10,System.Byte[],1,0.95,1,0.95,4,1,System.Byte[]
800,Lightning -- 雷,0.75,1,1,0.75,1,1,1,0.5,0.5,0.9,0.9,0.95,0.95,0.95,1,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,0,System.Byte[],1,0.95,1,0.95,1.5,1,System.Byte[]
801,Thunder + 1 -- 雷＋1,0.805,1,1,0.805,1.1,1,1,0.61,0.61,1.04,1.04,0.95,0.95,0.95,1.01,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,1,System.Byte[],1,0.95,1,0.95,1.5,1,System.Byte[]
802,Thunder + 2 -- 雷＋2,0.86,1,1,0.86,1.2,1,1,0.72,0.72,1.18,1.18,0.95,0.95,0.95,1.02,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,2,System.Byte[],1,0.95,1,0.95,1.75,1,System.Byte[]
803,Thunder + 3 -- 雷＋3,0.915,1,1,0.915,1.3,1,1,0.83,0.83,1.32,1.32,0.95,0.95,0.95,1.03,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,3,System.Byte[],1,0.95,1,0.95,2,1,System.Byte[]
804,Thunder + 4 -- 雷＋4,0.97,1,1,0.97,1.4,1,1,0.93,0.93,1.44,1.44,0.95,0.95,0.95,1.04,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,4,System.Byte[],1,0.95,1,0.95,2.25,1,System.Byte[]
805,Thunder + 5 -- 雷＋5,1.025,1,1,1.025,1.5,1,1,0.96,0.96,1.48,1.48,0.95,0.95,0.95,1.05,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,5,System.Byte[],1,0.95,1,0.95,2.5,1,System.Byte[]
806,Thunder + 6 -- 雷＋6,1.08,1,1,1.08,1.6,1,1,0.99,0.99,1.52,1.52,0.95,0.95,0.95,1.06,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,6,System.Byte[],1,0.95,1,0.95,2.75,1,System.Byte[]
807,Thunder + 7 -- 雷＋7,1.135,1,1,1.135,1.7,1,1,1.02,1.02,1.56,1.56,0.95,0.95,0.95,1.07,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,7,System.Byte[],1,0.95,1,0.95,3,1,System.Byte[]
808,Thunder + 8 -- 雷＋8,1.19,1,1,1.19,1.8,1,1,1.05,1.05,1.6,1.6,0.95,0.95,0.95,1.08,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,8,System.Byte[],1,0.95,1,0.95,3.25,1,System.Byte[]
809,Thunder + 9 -- 雷＋9,1.245,1,1,1.245,1.9,1,1,1.08,1.08,1.64,1.64,0.95,0.95,0.95,1.09,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,9,System.Byte[],1,0.95,1,0.95,3.5,1,System.Byte[]
810,Thunder + 10 -- 雷＋10,1.3,1,1,1.3,2,1,1,1.1,1.1,1.65,1.65,0.95,0.95,0.95,1.1,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,10,System.Byte[],1,0.95,1,0.95,4,1,System.Byte[]
900,Lightning -- 雷,0.85,1,1,1,1,1,1,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,0,System.Byte[],0.85,1.1,0,0.95,1.5,1,System.Byte[]
901,Thunder + 1 -- 雷＋1,0.94,1,1,1,1.1,1,1,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,1,System.Byte[],0.94,1.11,0,0.95,1.5,1,System.Byte[]
902,Thunder + 2 -- 雷＋2,1.03,1,1,1,1.2,1,1,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,2,System.Byte[],1.03,1.12,0,0.95,1.75,1,System.Byte[]
903,Thunder + 3 -- 雷＋3,1.12,1,1,1,1.3,1,1,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,3,System.Byte[],1.12,1.13,0,0.95,2,1,System.Byte[]
904,Thunder + 4 -- 雷＋4,1.19,1,1,1,1.4,1,1,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,4,System.Byte[],1.19,1.14,0,0.95,2.25,1,System.Byte[]
905,Thunder + 5 -- 雷＋5,1.3,1,1,1,1.5,1,1,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,5,System.Byte[],1.3,1.15,0,0.95,2.5,1,System.Byte[]
906,Thunder + 6 -- 雷＋6,1.41,1,1,1,1.6,1,1,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,6,System.Byte[],1.41,1.16,0,0.95,2.75,1,System.Byte[]
907,Thunder + 7 -- 雷＋7,1.52,1,1,1,1.7,1,1,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,7,System.Byte[],1.52,1.17,0,0.95,3,1,System.Byte[]
908,Thunder + 8 -- 雷＋8,1.63,1,1,1,1.8,1,1,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,8,System.Byte[],1.63,1.18,0,0.95,3.25,1,System.Byte[]
909,Thunder + 9 -- 雷＋9,1.74,1,1,1,1.9,1,1,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,9,System.Byte[],1.74,1.19,0,0.95,3.5,1,System.Byte[]
910,Thunder + 10 -- 雷＋10,1.85,1,1,1,2,1,1,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,10,System.Byte[],1.85,1.2,0,0.95,4,1,System.Byte[]
1000,Lightning -- 雷,0.8,1,1,1,1,1,1,0.3,0.3,0.54,0.54,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,0,System.Byte[],0.8,1,1,0.95,1.5,1,System.Byte[]
1001,Thunder + 1 -- 雷＋1,0.83,1,1,1,1.1,1,1,0.43,0.43,0.68,0.68,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,1,System.Byte[],0.835,1.01,1,0.95,1.5,1,System.Byte[]
